Acc,Sub-CC,Period,Year,Amount,Acc-Index,Position
51101,11 11,4,2020,1773902.49,51101|11 11,413000
51101,11 12,4,2020,1371424.18,51101|11 12,413000
51101,11 13,4,2020,2354055.31,51101|11 13,413000
51101,11 17,4,2020,761552.1,51101|11 17,413000
51101,11 18,4,2020,176457.77,51101|11 18,413000
51101,12 30,4,2020,5168918.14,51101|12 30,413000
51101,12 31,4,2020,7228573.9,51101|12 31,413000
51101,12 35,4,2020,578885.26,51101|12 35,413000
51101,12 3A,4,2020,723776.84,51101|12 3A,413000
51101,12 3B,4,2020,9934.63,51101|12 3B,413000
51101,12 3Z,4,2020,4088574.24,51101|12 3Z,413000
51101,12 40,4,2020,972564.46,51101|12 40,413000
51101,12 92,4,2020,10584098.22,51101|12 92,413000
51101,12 95,4,2020,4588108,51101|12 95,413000
51101,14 30,4,2020,2835450.97,51101|14 30,413000
51101,14 31,4,2020,615365.35,51101|14 31,413000
51101,14 35,4,2020,443478,51101|14 35,413000
51101,14 3N,4,2020,1493703.09,51101|14 3N,413000
51101,14 3S,4,2020,360873.17,51101|14 3S,413000
51101,14 3Z,4,2020,1078165.37,51101|14 3Z,413000
51101,14 40,4,2020,371901.05,51101|14 40,413000
51101,14 92,4,2020,2632881,51101|14 92,413000
51101,15 3G,4,2020,638991.86,51101|15 3G,413000
51101,15 3H,4,2020,1655051.79,51101|15 3H,413000
51101,15 3I,4,2020,24075.35,51101|15 3I,413000
51101,15 92,4,2020,1815283,51101|15 92,413000
51101,42 61,4,2020,958253.47,51101|42 61,413000
51101,42 62,4,2020,1371431.76,51101|42 62,413000
51101,42 63,4,2020,3039879.24,51101|42 63,413000
51101,42 64,4,2020,655515.49,51101|42 64,413000
51101,42 65,4,2020,669322.25,51101|42 65,413000
51101,42 67,4,2020,385773.9,51101|42 67,413000
51101,42 78,4,2020,71278.22,51101|42 78,413000
51101,42 82,4,2020,981818.72,51101|42 82,413000
51101,42 83,4,2020,652372.15,51101|42 83,413000
51101,42 84,4,2020,5496598.8,51101|42 84,413000
51101,42 92,4,2020,8096701.78,51101|42 92,413000
51101,42 94,4,2020,971714,51101|42 94,413000
51101,43 11,4,2020,5126007.15,51101|43 11,413000
51101,43 92,4,2020,8228390.71,51101|43 92,413000
51101,44 21,4,2020,1199840,51101|44 21,413000
51101,44 23,4,2020,569958.81,51101|44 23,413000
51101,44 24,4,2020,1088676.44,51101|44 24,413000
51101,44 25,4,2020,3449797.45,51101|44 25,413000
51101,44 26,4,2020,3360000.42,51101|44 26,413000
51101,44 27,4,2020,2107128.06,51101|44 27,413000
51101,44 28,4,2020,3829334.31,51101|44 28,413000
51101,44 29,4,2020,3696467.51,51101|44 29,413000
51101,44 92,4,2020,6839936.49,51101|44 92,413000
51104,11 11,4,2020,89318.64,51104|11 11,413000
51104,11 12,4,2020,93123.37,51104|11 12,413000
51104,11 13,4,2020,156413.04,51104|11 13,413000
51104,11 17,4,2020,51600.65,51104|11 17,413000
51104,11 18,4,2020,10066.34,51104|11 18,413000
51104,12 30,4,2020,270241.76,51104|12 30,413000
51104,12 31,4,2020,247051.33,51104|12 31,413000
51104,12 35,4,2020,41283.19,51104|12 35,413000
51104,12 3B,4,2020,239.55,51104|12 3B,413000
51104,12 3Z,4,2020,297895.41,51104|12 3Z,413000
51104,12 40,4,2020,39453.31,51104|12 40,413000
51104,12 92,4,2020,120590.45,51104|12 92,413000
51104,14 30,4,2020,261249.74,51104|14 30,413000
51104,14 31,4,2020,51935.37,51104|14 31,413000
51104,14 35,4,2020,50070,51104|14 35,413000
51104,14 3N,4,2020,209981.05,51104|14 3N,413000
